Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,,,
J0000000000040,ABECEDARIO PARA ARMAR DE MADERA,908247,JUGUETERIA,DIDACTICOS,,SIN MARCA,PESOS,"5,700.00","120,00",,,
JUG5468700,ADORNO FLUORESCENTE EN CAJA GLOW SHOW 21020,908750,JUGUETERIA,ADORNO,,,PESOS,"2,200.00","120,00",,,
J0000000000038,AJEDREZ NUPRO JUEGO DE MESA 1020 220262,908245,JUGUETERIA,JUEGOS DE MESA,,NUPRO,PESOS,"8,373.00","120,00",,,
JUG21627,AJEDREZ SIMIL MADERA 1033 JUEGO DE MESA NUPRO,7798108221627,JUGUETERIA,JUEGOS DE MESA,,,PESOS,"11,850.00","120,00",,,
JU0001,ALAS DE MARIPOSA,908467,JUGUETERIA,DISFRAZ,,,PESOS,"2,500.00","120,00",,,
JUG23100,AMETRALLADORA 52317,908570,JUGUETERIA,ARMAS,,,PESOS,"3,100.00","120,00",,,
JUG7868,ANIMALES DE LA GRANJA BOLSA FARM SET FD15SF171,908826,JUGUETERIA,ANIMALES,,,PESOS,"4,950.00","120,00",,,
J0000000000082,ANIMALES DE LA GRANJA EN BOLSA X4U HAPPY ANIMAL WORLD BA-10565 / FARM SET 716C2,908284,JUGUETERIA,ANIMALES,,EDUCATIONAL,PESOS,"7,200.00","120,00",,,
JUG107899,ANIMALES DE LA GRANJA X6U FARM ANIMAL LYON TOYS,908515,JUGUETERIA,ANIMALES,,,PESOS,"6,200.00","120,00",,,
JUG59624,ANIMALES DE LA GRANJA X6U FARM WORLD ANIMALS 1615 59624 / MANYANIMALS FARM LINE P2604/6,908784,JUGUETERIA,ANIMALES,,,PESOS,"9,300.00","120,00",,,
JUG3223399,ANIMALES DE LA SELVA X 12 WILD ANIMAL CHT2728925,908631,JUGUETERIA,ANIMALES,,,PESOS,"8,500.00","120,00",,,
205041,ANIMALES DE LA SELVA X6U ANIMAL KINGDOM 2004,905468,JUGUETERIA,ANIMALES,,,PESOS,"6,800.00","120,00",,,
JUG87945,ANIMALES DINOSAUR WORLD ANIMAL MINI DINOSAURIO X 12 UNIDADES 17540,908845,JUGUETERIA,ANIMALES,,,PESOS,"6,200.00","120,00",,,
205576,ANIMALES FUNNY FARM SET DE GRANJA X 2 163226,905527,JUGUETERIA,ANIMALES,,,PESOS,"2,900.00","120,00",,,
JUG317128,ANTIPARRA BESTWAY +14 AÑOS (ADULTOS) 21097,908614,JUGUETERIA,VERANO,,BESTWAY,PESOS,"3,300.90","120,00",,CODIGO APLICADO,
JUG4879878,ANTIPARRA BESTWAY +3 A 6 AÑOS (INFANTIL) 21002,908707,JUGUETERIA,VERANO,,,PESOS,"2,000.00","120,00",,PRECIO ACTUALIZADO,
JUG705757,ANTIPARRA BESTWAY +7 A 14 AÑOS (INFANTIL/ADOLESCENTE) 21005 - 21048,908810,JUGUETERIA,VERANO,,BESTWAY,PESOS,"2,667.00","120,00",,AUMENTO UN 12% CON RESPECTO AL 2024,
VRNOSD20157,ANTIPARRA BL SD20157,909666,JUGUETERIA,VERANO,,,PESOS,"1,880.00","120,00",,,
JU02372,ANTIPARRA BL SD2258,908474,JUGUETERIA,VERANO,,,PESOS,980.00,"120,00",,,
JUG302240,ANTIPARRA SIRENITA 7525 - PRINCESAS 7523 - SPIDERMAN 7527,908584,JUGUETERIA,VERANO,,,PESOS,"6,500.00","120,00",,,
8881680746998,"WILD HORSE SERIES NO,044",908249,JUGUETERIA,,,BOERR,PESOS,"7,200.00","120,00",,,
J0000000000072,CASTILLOS DIDACTICOS APILABLES OLEK 75 ,7790000000751,JUGUETERIA,DIDACTICOS,,JUGAR,PESOS,"2,350.00","120,00",,,
J0000000000151,APILABLES ANILLOS DIDACTICOS 78 OLEK,7790000000782,JUGUETERIA,DIDACTICOS,,OLEK,PESOS,"1,850.00","120,00",,,
J0000000000014,APRENDIENDO INGLES – ART 315 IMPLAS,7797756003159,JUGUETERIA,DIDACTICOS,,IMPLAS,PESOS,"10,200.00","120,00",,,
JUG87999,ARCO Y FLECHA  BA-19825 AB-10614 PK3849,908848,JUGUETERIA,ARMAS,,,PESOS,"3,890.00","120,00",,,
J0000000000098,,908300,JUGUETERIA,ARMAS,,YURITI,PESOS,"1,360.00","120,00",,,
J0000000000096,ARMA 1020,908298,JUGUETERIA,ARMAS,,EL BRUJO,PESOS,"1,440.00","120,00",,,
J0000000000100,AMETRALLADORA ARMA 61299 52277,5487608387866,JUGUETERIA,ARMAS,,BECHAR,PESOS,"3,250.00","120,00",,,
J0000000000097,ARMA 864780,908299,JUGUETERIA,ARMAS,,COLORPEN,PESOS,"1,664.00","120,00",,,
J0000000000092,ARMA AET POLICIA HM951851,908294,JUGUETERIA,ARMAS,,DEERMAN,PESOS,"1,850.00","120,00",,,
J0000000000054,ARMA AMETRALLADORA MILITARY MK2928789,908258,JUGUETERIA,ARMAS,,ARVAL,PESOS,"1,860.00","120,00",,,
JUG97846545,ARMA AMETRALLADORA PP5981,908857,JUGUETERIA,ARMAS,,,PESOS,"2,320.00","120,00",,,
JUG359905,ARMA JOYA ANIMALITO SD11865Z SD15521 ZX,7990500155214,JUGUETERIA,ARMAS,,,PESOS,"6,400.00","120,00",,,
JUG359902,ARMA JOYA ANIMALITO SD15851,7990500158512,JUGUETERIA,ARMAS,,,PESOS,"3,200.00","120,00",,,
JUG307453,ARMA JOYA LOOK MANIA CAJA 12 DIVISIONES 2011 / 2013,908600,JUGUETERIA,ARMAS,,,PESOS,"6,350.00","120,00",,,
JUG6500001,ARMA JOYA TINY 52536,7450077127903,JUGUETERIA,ARMAS,,,PESOS,"1,090.00","120,00",,,
JUG6500000,ARMA JOYA TINY 53055,908789,JUGUETERIA,ARMAS,,,PESOS,"2,880.00","120,00",,,
J0000000000091,ARMA NL2020-34 10291,908293,JUGUETERIA,ARMAS,,DEERMAN,PESOS,"1,360.00","120,00",,,
J0000000000016,ARMANDO ORACIONES – ART 244,908223,JUGUETERIA,DIDACTICOS,,IMPLAS,PESOS,"2,720.00","120,00",,,
JUG312514,ARO DE BASQU,908609,JUGUETERIA,DEPORTES,,,PESOS,"10,100.00","120,00",,,
JUG311765,ARRASTRE AUTO JP0219 BABY DRIVER,7898632810103,JUGUETERIA,AUTO,,,PESOS,"7,100.00","120,00",,,
J0000000000078,ARRASTRE COCODRILO RIVA,7796784007030,JUGUETERIA,DIDACTICOS,,RIVAPLAST,PESOS,"11,908.00","120,00",,,
JU41145713,ARRASTRE DINO A CUERDA 51208,7796784007160,JUGUETERIA,DIDACTICOS,,RIVAPLAST,PESOS,"5,689.50","120,00",,,
JU02374,ARRASTRE MOZART TOYS 008 BALANCIN,908476,JUGUETERIA,DIDACTICOS,,,PESOS,"1,560.00","120,00",,,
JUG001,ARRASTRE NEW PLAST CARACOL 20131 20133  / DORITA 20133,7798025250311,JUGUETERIA,DIDACTICOS,,NEW PLAST,PESOS,"9,490.00","120,00",,,
J0000000000077,ARRASTRE SIMON 20131 20133 NEW PLAST,7798025250380,JUGUETERIA,DIDACTICOS,,NEW PLAST,PESOS,"9,490.00","120,00",,,
JUG45111,AUTO BURBUJA SUPER POWER CAR 50095,908674,JUGUETERIA,VEHICULOS,,,PESOS,"1,700.00","120,00",,,
J0000000000121,AUTO HOMBRE ARAÑA X 2 BL 54416,7453105004054,JUGUETERIA,VEHICULOS,,SIN MARCA,PESOS,"3,330.00","120,00",,,
J0000000000264,AUTO CARS GRANDE BOLSA ,908455,JUGUETERIA,VEHICULOS,,,PESOS,"3,250.00","120,00",,,
JUG2240000,AUTO COLECCION GO SPEED METAL 54646,908567,JUGUETERIA,AUTO,,,PESOS,"2,775.00","120,00",,,
J0000000000175,AUTO COLECCION METAL BL 200373,908368,JUGUETERIA,VEHICULOS,,,PESOS,"2,620.00","120,00",,,
J0000000000176,AUTO COLECCION WELLY 52020B,908369,JUGUETERIA,VEHICULOS,,,PESOS,944.00,"120,00",,,
JUG8672,AUTO COLECCION X6 UNIDADES EN VALIJA EXHIBIDORA A201042 8532,908836,JUGUETERIA,VEHICULOS,,,PESOS,"14,500.00","120,00",,,
J0000000000115,AUTO CON CONTROL SPEEDSTER 2020578,908317,JUGUETERIA,VEHICULOS,,,PESOS,"13,490.00","120,00",,,
JUG124154,AUTO CONTROL REMOTO FAST MODERN CAR 61728 50027,908533,JUGUETERIA,VEHICULOS,,,PESOS,"13,490.00","120,00",,,
JUG113,AUTO EN BLISTER X4 TOP RACE 258,908523,JUGUETERIA,VEHICULOS,,,PESOS,"2,480.00","120,00",,,
JUG16548,AUTO EN CAJA X5 EXPRESS SUPER POWER 2105,908548,JUGUETERIA,VEHICULOS,,,PESOS,800.00,"120,00",,,
JUG89787,AUTO EXPRESS X5 UNIDADES 2105,908853,JUGUETERIA,VEHICULOS,,,PESOS,880.00,"120,00",,,
J0000000000129,AUTO FORMULA UNO GRANDE F1 COD. 002,908331,JUGUETERIA,VEHICULOS,,JUGAR,PESOS,"2,024.00","120,00",,,
7798172020454,AUTO IRV TOYS CABRIOLET PARA MUÑECAS ART. 0096 PEQUITAS,908645,JUGUETERIA,AUTO,,IRV TOYS,PESOS,"10,980.00","120,00",,,
JU02366,AUTO JEEP BURBUJA SD15830,908469,JUGUETERIA,VEHICULOS,,,PESOS,"2,000.00","120,00",,,
JUG3543,AUTO MILITAR CHARIOT BURBUJA 52090,908639,JUGUETERIA,VEHICULOS,,,PESOS,"2,000.00","120,00",,,
JUG74687,AUTO MINI 64 JUGAR,7798121288164,JUGUETERIA,VEHICULOS,,,PESOS,790.00,"120,00",,,
J0000000000118,AUTO FORMULA UNO 1312 LUNI F1,7797076013128,JUGUETERIA,VEHICULOS,,IIM,PESOS,"2,500.00","120,00",,,
J0000000000117,AUTO SD22219,908319,JUGUETERIA,VEHICULOS,,BERKMA,PESOS,"1,424.00","120,00",,,
JUG111,AUTO SPEED CAR X24U 53657 14*11,908517,JUGUETERIA,VEHICULOS,,,PESOS,"4,592.00","120,00",,,
JUG1112,AUTO SPEED CAR X 15 PCS 53628 61928 ,7453077223095,JUGUETERIA,VEHICULOS,,,PESOS,"3,500.00","120,00",,,
JUG565,AUTO SPIDERMAN A FRICCION 53960,908770,JUGUETERIA,AUTO,,,PESOS,"1,960.00","120,00",,,
JUG5465,AUTO SUPER SPEED CAJA X 10UN SD8353,908745,JUGUETERIA,VEHICULOS,,,PESOS,"3,300.00","120,00",,,
JUG4547879,AUTO X3 HI SPEED 53177 14*11,908687,JUGUETERIA,VEHICULOS,,,PESOS,"2,848.00","120,00",,,
JUG1234,AUTOS EN BLISTER X4U / X5U CARTOON CAR - RACER,908531,JUGUETERIA,VEHICULOS,,,PESOS,"1,600.00","120,00",,,
JUG789522,AUTOS EN CAJA X4 UNIDADES FASHION SPORT CAR XL804B,908830,JUGUETERIA,VEHICULOS,,,PESOS,"1,248.00","120,00",,,
J0000000000203,AVION R/ CONTROL BL8888 ,9020241010096,JUGUETERIA,VEHICULOS,,,PESOS,"16,740.00","120,00",,,
7798104180140,AVION ART 100 MEGAPRICE,908291,JUGUETERIA,VEHICULOS,,MEGAPRICE,PESOS,"1,250.00","120,00",,,
JUG2541,AVION CARTOON PLANE 50276,908577,JUGUETERIA,VEHICULOS,,,PESOS,800.00,"120,00",,,
JUG5442220,AVION SKY KING HM931364 14*11,908725,JUGUETERIA,VEHICULOS,,,PESOS,992.00,"120,00",,,
JUG45588,AVIONES Y MOTOS FULL SPEED,908689,JUGUETERIA,VEHICULOS,,,PESOS,"1,248.00","120,00",,,
JUG322113,BALERO HM40123 742465,908627,JUGUETERIA,BALERO,,,PESOS,"3,200.00","120,00",,,
JUG878755456,"BARRILETE AVION 1,4MT ZZ-1116",908840,JUGUETERIA,BARRILETE,,,PESOS,"2,500.00","120,00",,,
JUG319270,"BARRILETE PERSONAJES 1,1MT",908623,JUGUETERIA,BARRILETE,,,PESOS,"1,960.00","120,00",,,
JUGZZ1113,BARRILETE PERSONAJES 80CM ZZ-1113,908865,JUGUETERIA,BARRILETE,,,PESOS,"1,350.00","120,00",,,
J0000000000008,BATALLA NAVAL NUPRO,7798108221245,JUGUETERIA,JUEGOS DE MESA,,NUPRO,PESOS,"8,875.00","120,00",,,
JUG24545,BAÑERA CON BEBE,908574,JUGUETERIA,BEBES,,,PESOS,"2,176.00","120,00",,,
JUG62251,BEBE NEGRA GABY MAGIKA 6501,908788,JUGUETERIA,BEBE,,,PESOS,"10,200.00","120,00",,,
JUG1235,BEBE PUPITA PELADITO 1011 - PUCHERITO 1008,908532,JUGUETERIA,BEBE,,,PESOS,"2,976.00","120,00",,,
J0000000000249,BEBES MELLIZOS MIMOSITOS ART 7003,908440,JUGUETERIA,BEBES,,,PESOS,"16,900.00","120,00",,,
J0000000000247,BEBOTE MI BEBE CON MAMADERA ART 220,908438,JUGUETERIA,BEBES,,,PESOS,"3,040.00","120,00",,,
J0000000000248,BEBOTE SUEÑOS DE BEBE ART 6600,908439,JUGUETERIA,BEBES,,,PESOS,"1,920.00","120,00",,,
JUG547J,BEY BLADE CC2014 - E03*24,908756,JUGUETERIA,TROMPO,,,PESOS,"2,000.00","120,00",,,
J0000000000034,BINGO LOTERIA 12 CARTONES NUMEROS PLASTICOS ECONOMICO,908241,JUGUETERIA,JUEGO DE MESA,,,PESOS,"2,000.00","120,00",,,
JUG5456210,BINGO BISONTE CON BOLILLERO METALICO 9925,908738,JUGUETERIA,JUEGOS DE MESA,,,PESOS,"33,335.00","120,00",,,
J0000000000265,BINGO LOTERIA FAMILIAR MADERA X24 CARTONES DA-NA,908456,JUGUETERIA,JUEGOS DE MESA,,HABANO,PESOS,"3,523.00","120,00",,,
J0000000000059,BINGO LOTERIA BISONTE ART. 1434 48 CARTONES,908263,JUGUETERIA,JUEGOS DE MESA,,BISONTE,PESOS,"10,122.00","120,00",,,
JUG80000,BINOCULARES ARMY COMBAT 50827 63372,908831,JUGUETERIA,BINOCULARES,,,PESOS,"2,290.00","120,00",,,
JUG74522,BLOQUES JUG.AR X 24 PIEZAS EN BOLSA  402,7798121284029,JUGUETERIA,BLOQUES,,,PESOS,"2,900.00","120,00",,,
J0000000000244,BLOQUES X 36 PIEZAS,908435,JUGUETERIA,BLOQUES,,,PESOS,"1,360.00","120,00",,,
JUG44565,BLOQUES DURAVIT X 36 PIEZAS EN BOLSA 664,7792435006643,JUGUETERIA,BLOQUES,REX,DURAVIT,PESOS,"4,152.50","120,00",,,
J0000000000145,DURAVIT PRIMERA INFANCIA APILABLE PIRAMIDE DE ANILLOS  653,7792435006537,JUGUETERIA,DIDACTICOS,REX,DURAVIT,PESOS,"4,700.00","120,00",,,
JUG021,BLOQUES RODAR BALDE X60 410,908503,JUGUETERIA,BLOQUES,,,PESOS,"10,897.00","120,00",,,
JUG5410,BLOQUES RODAR BALDE X96 411,7798121288065,JUGUETERIA,BLOQUES,,,PESOS,"13,260.00","120,00",,,
JUG1242,BOLITA CANICA BOLON X UNIDAD,908534,JUGUETERIA,BOLITA,,,PESOS,91.00,"120,00",,,
JUG12625,BOLITA X24 + BOLON MACAO,7796851818668,JUGUETERIA,BOLITA,,,PESOS,"1,400.90","120,00",,,
JUG1233,BOLITAS CANICA X50 X45,908530,JUGUETERIA,BOLITA,,,PESOS,"1,290.00","120,00",,,
JUG312518,BRACITOS INFLABLES 32005,908610,JUGUETERIA,VERANO,,,PESOS,"2,200.00","120,00",,,
JUG45478755,BRACITOS INFLABLES 46025 - 37622 - 6942 - 32042 - 32033,908686,JUGUETERIA,VERANO,,,PESOS,"3,600.00","120,00",,7920,
JUG1124555,BURBUJERO A PILA GATLING 2025 14*11,908522,JUGUETERIA,BURBUJERO,,,PESOS,"2,832.00","120,00",,,
JUG106545,BURBUJERO CAJA ELECTRIC BUBBLE GUN 53818 14*11,908514,JUGUETERIA,BURBUJERO,,,PESOS,"3,200.00","120,00",,,
J0000000000197,BURBUJERO COMUN,908389,JUGUETERIA,BURBUJERO,,,PESOS,760.00,"120,00",,,
JUG20003,JUEGO AGUA DINO HM50141 ,5022840033203,JUGUETERIA,BURBUJERO,,,PESOS,"1,520.00","120,00",,,
J0000000000259,JUEGO DE AGUA SIRENA HM50145,5022849780283,JUGUETERIA,BURBUJERO,,,PESOS,"1,450.00","120,00",,,
J0000000000074,CABALLO PALO CON RUEDITAS,908276,JUGUETERIA,CABALLO,,SIN MARCA,PESOS,"1,200.00","120,00",,,
J0000000000181,CAJA DE 5 AUTITOS Y 5 MOTOS,908374,JUGUETERIA,VEHICULOS,,,PESOS,"1,120.00","120,00",,,
J0000000000180,CAJA DE AUTITOS X4 XLC804B,908373,JUGUETERIA,VEHICULOS,,,PESOS,800.00,"120,00",,,
JUG54525,CAJA REGISTRADORA FROZEN 54525,908733,JUGUETERIA,CAJA REGISTRADORA,,,PESOS,"15,840.00","120,00",,,
JUG425,CAMARA FOTO C/LUZ Y SONIDO BABY TOY 51181,908665,JUGUETERIA,CAMARA,,,PESOS,"1,520.00","120,00",,,
J0000000000084,CAMION BABY TRUCK 0084,908286,JUGUETERIA,VEHICULOS,,IRV TOYS,PESOS,"3,800.00","120,00",,,
JUG45454121,CAMION BOMBERO PP5770,908679,JUGUETERIA,VEHICULOS,,,PESOS,"4,150.00","120,00",,,
JUG7100,CAMION BURBUJA HOT RACING PP5793,908811,JUGUETERIA,VEHICULOS,,,PESOS,"2,900.00","120,00",,,
J0000000000167,CAMION CISTERNA MEGAPRICE 114,908360,JUGUETERIA,VEHICULOS,REX,MEGAPRICE,PESOS,"2,624.00","120,00",,,
J0000000000120,CAMION CON TRAILER JUGAR 061,7798121287839,JUGUETERIA,VEHICULOS,,,PESOS,"2,995.90","120,00",,,
JUG319075,CAMION DURAVIT SET EN CAJA TRAILER Y RETRO EXCAVADORA 361,908620,JUGUETERIA,VEHICULOS,REX,DURAVIT,PESOS,"7,595.50","120,00",,,
JUG3554,CAMION MILITAR X5 UNIDADES MILITARYS COMBAT SD12991,908642,JUGUETERIA,VEHICULOS,,,PESOS,"2,400.00","120,00",,,
JUG7587,CAMION MOSQUITO BURBUJA NEW ENTER 50217 / 50218,908817,JUGUETERIA,VEHICULOS,,,PESOS,"2,800.00","120,00",,,
JUG5464,CAMION MOSQUITO BURBUJA SUPER KING 50223,908743,JUGUETERIA,VEHICULOS,,,PESOS,"1,760.00","120,00",,,
48411425,CAMION PUZZLE TRUCK 887-59,907796,JUGUETERIA,VEHICULOS,,,PESOS,"1,600.00","120,00",,,
J0000000000130,CAMION TRANSFORMER SD24786,7990500247865,JUGUETERIA,VEHICULOS,,SIN MARCA,PESOS,"10,290.00","120,00",,,
JUG56700,CAMION TRUCK EN BOLSA 500P,908773,JUGUETERIA,VEHICULOS,,,PESOS,"1,280.00","120,00",,,
J0000000000131,CAMION VOLQUETE 1138,908333,JUGUETERIA,VEHICULOS,,LUNA PLAST,PESOS,640.00,"120,00",,,
J0000000000179,CAMIONCITO BOMBERO B32 EN BLISTER,908372,JUGUETERIA,VEHICULOS,,,PESOS,640.00,"120,00",,,
J0000000000088,CAMIONCITO TUTU ST,908290,JUGUETERIA,VEHICULOS,,TUTU,PESOS,288.00,"120,00",,,
JUG1354546,CAMIONES A FRICCION X4 AB-11377 - E03*24,908538,JUGUETERIA,VEHICULOS,,,PESOS,"2,200.00","120,00",,,
J0000000000127,CAMIONETA A FRICCION BA-10006 / MAX SPEED EXTREME 60101 - E03*24,908329,JUGUETERIA,VEHICULOS,,GO SHOP,PESOS,"2,600.00","120,00",,,
JUG5754,CAMIONETA BIG POWER CAR 50098,908775,JUGUETERIA,VEHICULOS,,,PESOS,"1,120.00","120,00",,,
JUG546857,CAMIONETA BURBUJA SD3761ZX,908748,JUGUETERIA,VEHICULOS,,,PESOS,"2,658.00","120,00",,,
J0000000000122,CAMIONETA POLICIA HM10124,908324,JUGUETERIA,VEHICULOS,,,PESOS,"1,920.00","120,00",,,
JUG98798754,CAMIONETA SPEED BURBUJA SD3761,908862,JUGUETERIA,VEHICULOS,,,PESOS,"2,700.00","120,00",,,
J0000000000107,CANASTA CON FRUTAS Y VERDURAS 20 PIEZAS DURAVIT 506,7792435005066,JUGUETERIA,FRUTAS Y VERDURAS,REX,DURAVIT,PESOS,"6,355.90","120,00",,,
J0000000000108,CANASTA CON JUEGO DE TE Y COCINA 32 PIEZAS,908310,JUGUETERIA,JUEGO DE TE,,DURAVIT,PESOS,"2,160.00","120,00",,,
JUG396903,CANGREJO FRICCION SD21497,7990500214973,JUGUETERIA,DIDACTICOS,,,PESOS,"3,690.00","120,00",,,
BOL123,CANICA BOLON X 25 UNIDADES,908190,JUGUETERIA,BOLITA,,,PESOS,"1,940.00","120,00",,,
JUG60089,CARRUAJE CON LUZ Y SONIDO 22127 CARROZA CON MUSICA,908785,JUGUETERIA,CARRUAJE,,,PESOS,"22,060.00","120,00",,,
JUG1502,CARRUAJE CON MUÑECA MINI CARRIGE VOGUE 50508,908540,JUGUETERIA,CARRUAJE,,,PESOS,"1,472.00","120,00",,,
JUG200087,CASITA CON ACCESORIOS PRINCESS 52157,908556,JUGUETERIA,CASITA,,,PESOS,"2,000.00","120,00",,,
JUG420000,CASTILLO CON ACCESORIOS PRINCESS 50565 60260,908663,JUGUETERIA,CASTILLO,,,PESOS,"3,500.00","120,00",,,
JUG545000,CEBITAS EN BLISTER,908732,JUGUETERIA,ARMAS,FOB,,PESOS,"1,350.00","120,00",,,
JUG02067,CELULAR INFANTIL MOBILE PHONE,908502,JUGUETERIA,CELULAR,,,PESOS,720.00,"120,00",,,
JUG10542,CELULAR PERSONAJE EN BLISTER 833 - E03*24,908512,JUGUETERIA,CELULAR,,,PESOS,"2,100.00","120,00",,,
J0000000000230,CHIFLE ANIMALITO X5 SD17258,908421,JUGUETERIA,CHIFLE,,,PESOS,"6,600.00","120,00",,,
J0000000000226,CHIFLE SET X 4 PELOTAS SENSORIALES 5185,7798364131760,JUGUETERIA,CHIFLE,,,PESOS,"6,535.00","120,00",,,
JUG45478,CHIFLE FAMILIA RANA CON CRIA ART 12600,7798364130176,JUGUETERIA,CHIFLE,,,PESOS,"6,900.00","120,00",,,
J0000000000233,CHIFLE IRV AUTO 11480,7798364130237,JUGUETERIA,CHIFLE,,,PESOS,"2,507.00","120,00",,,
JUG154546,CHIFLE IRV HELICOPTERO 11120,7798364130091,JUGUETERIA,CHIFLE,,,PESOS,"2,507.00","120,00",,,
