Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Venta,2024
LI6858,MOÑO CHICO ATERCIOPELADO ROJO X 6,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"2,750.00",,4950,
LI6859,MOÑO CHICO ATERCIOPELADO ROJO X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,500.00,,900,
LI6918,MOÑO MEDIANO BRILLANTE PLATEADO X 2,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,350.00",,2430,750
LI6948,MOÑO MEDIANO BRILLANTE PLATEADO X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,750.00,,1350,
LI5023,MOÑO CHICO GIBRE PLATA / ROJO Y DORADO X 10,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"3,350.00",,6030,1680
LI6374,MOÑO CHICO GIBRE PLATA / ROJO Y DORADO X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,500.00,,900,
LI5047,MOÑO GRANDE GIBRE ROJO X 2,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,650.00",,2970,
LI5107,MOÑO GRANDE GIBRE ROJO X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,900.00,,1620,
LI5420,ADORNO ESTRELLA DORADA X 4,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,777.78",,3200,950
LI7006,ADORNO ESTRELLA DORADA X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,444.44,,800,
LI7007,ADORNO PAPA NOEL ,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,720.00,,1296,
LI455757,ADORNO PARA VIDRIO CAMPANA / BOTA,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,833.33,,1500,
LI7008,ADORNO REGALITOS X 9,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,650.00,,1170,
LI7009,ADORNO ESTRELLA FUGAZ X 3,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,388.89",,2500,
LI7010,ADORNO ANGELITO X 3,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,666.67",,3000,
LI7011,ADORNO PAPA NOEL CARITA,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,277.78,,500,
LI7012,ADORNO ARBOLITOS DORADOS X 2,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,555.56,,1000,
LI7013,ADORNO BOLAS GRANDES N° 7 X 2,,NAVIDAD,ADORNO NAVIDEÑO,REX,,PESOS,"1,126.50",,2027.7,
LI7014,ADORNO ESTRELLAS ROJAS X 3,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,450.00,,810,
LI7015,ADORNO CEREZAS N°3 X 6,,NAVIDAD,ADORNO NAVIDEÑO,REX,,PESOS,729.70,,1313.46,
LI7016,ADORNO LAGRIMAS BRILLO X 2,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,275.00",,2295,
LI7018,ADORNO BOLAS CHICAS N°3 X 6,,NAVIDAD,ADORNO NAVIDEÑO,REX,,PESOS,729.70,,1313.46,
LI7026,ADORNO CAMPANITAS DORADAS X 8,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,420.00,,756,
LI68987,ADORNO CAMPANITAS MULTICOLOR X 12,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,580.00,,1044,
LI7068,ADORNO BOLAS CHICAS N°3 X 12,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,459.40",,2626.92,
LI7090,ADORNO BOLAS CHICAS N°2 X 9,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,993.90,,1789.02,
LI7091,ADORNO BOLAS MEDIANAS N°4 X 4,,NAVIDAD,ADORNO NAVIDEÑO,REX,,PESOS,529.93,,953.874,
LI7104,ADORNO BOLAS MEDIANAS N°4 X 6,,NAVIDAD,ADORNO NAVIDEÑO,REX,,PESOS,794.90,,1430.82,
LI7124,ADORNO ARBOLITOS DORADOS X 4,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,111.11", ,2000,
LI5309,ADORNO ARBOLITOS ROJOS X 3,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,833.33,,1500,
LI5531,ADORNO BOLAS MEDIANAS N°5 X 4,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,550.00,,990,
LI5900,ADORNO ARBOLITO GIBRE PLATA X 2,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,777.78,,1400,
LI5701,"CARTEL ""FELIZ NAVIDAD""",,NAVIDAD,,,,PESOS,"1,388.89",,2500,
LI7143,ADORNO ARBOLITO GIBRE ORO X 1,,NAVIDAD,,,,PESOS,380.00,,684,
LI5737,ADORNO CAMPANITAS DORADAS X 12,,NAVIDAD,,,,PESOS,"2,222.22",,4000,
LI7145,ADORNO RENO ROJO GIBRE X 1,,NAVIDAD,,,,PESOS,500.00,,900,
LI8545,ADORNO PUNTA ESTRELLA PLATA X 1,,NAVIDAD,,,,PESOS,720.00,,1296,
LI7146,ADORNO BOLAS MEDIANAS N°4 X 11 (ESTRELLA),,NAVIDAD,,,,PESOS,"1,457.00",,2622.6,
LI46500,ADORNO PIÑA X 3,,NAVIDAD,,,,PESOS,680.00,,1224,
308025,ADORNO BOTA X 3,,NAVIDAD,,,,PESOS,680.00,,1224,
308026,ADORNO MOÑOS X 3,,NAVIDAD,,,,PESOS,500.00,,900,
308024,MUERDAGO GIBRE,,NAVIDAD,,,,PESOS,750.00,,1350,
LI5465,CINTA DORBELL 15MM X MT (CINTA NAVIDEÑA),,NAVIDAD,MERCERIA,MILAN,,PESOS,320.00,,576,
LI6303,CINTA DORBELL 23MM X MT (CINTA NAVIDEÑA),,NAVIDAD,MERCERIA,MILAN,,PESOS,350.00,,630,
LI6336,CINTA RALUR N°1 (6MM) (CINTA NAVIDEÑA),,NAVIDAD,MERCERIA,MILAN,,PESOS,200.00,,360,
LI6337,CINTA RALUR N°3 (15MM) (CINTA NAVIDEÑA),,NAVIDAD,MERCERIA,MILAN,,PESOS,290.00,,522,
LI7154,CINTA RALUR TRIGAL (15MM) (CINTA NAVIDEÑA),,NAVIDAD,MERCERIA,MILAN,,PESOS,470.00,,846,
LI7155,CINTA RALUR ESCOCES (6MM) (CINTA NAVIDEÑA),,NAVIDAD,MERCERIA,MILAN,,PESOS,300.00,,540,
LI7156,CINTA FAMITEX FANTASY ART 100 N°5 X MT 25MM (CINTA NAVIDEÑA),,NAVIDAD,MERCERIA,MILAN,,PESOS,250.00,,450,
L5487981,CINTA FAMITEX FANTASY ART 100 N°3 X MT 15MM (CINTA NAVIDEÑA),,NAVIDAD,MERCERIA,MILAN,,PESOS,180.00,,324,
L6571,CINTA FAMITEX FANTASY ART 100 N°9 X MT 40MM (CINTA NAVIDEÑA),,NAVIDAD,,,,,370.00,,666,
LI6393,CAMPANA GRANDE PUERTA,,NAVIDAD,,,,PESOS,"1,388.89",,2500,
LI6415,ADORNO ESTRELLAS ROJAS / DORADAS X 1,,NAVIDAD,,,,PESOS,10000,,18000,
LI6536,MEDIA NAVIDAD OSITO,,NAVIDAD,,,,PESOS,2166.666667,,3900,
LI6560,MEDIA NAVIDAD RENO,,NAVIDAD,,,,PESOS,2166.666667,800,3900,
LI6352,CINTA CORDON DE ORO TROQUELADA SPARKLE 30 MM X 10,,NAVIDAD,,,,PESOS,5990,,10782,
L415421,CINTA CORDON DE ORO TROQUELADA SPARKLE 30 MM X 1,,NAVIDAD,,,,PESOS,688.85,,1239.93,
LI5426,VELONCITO CORONA ADVIENTO X 1,,NAVIDAD,,,,PESOS,695.5,,1251.9,
204145,LUCES LED X 50 BLANCA CALIDA,,NAVIDAD,,,,PESOS,3037.5,,5467.5,
300602,LUCES ARROZ X 100 BLANCA CALIDA / FRIA,,NAVIDAD,,,,PESOS,2632.5,,4738.5,
304572,LUCES LED X 100 BLANCA FRIA,,NAVIDAD,,,,PESOS,3645.5,,6561.9,
LI7088,MOÑO CHICO BRILLANTE PLATEADO X 12,,NAVIDAD,,,,PESOS,1457.9,,2624.22,
LI6590,MOÑO CHICO BRILLANTE PLATEADO X 1,,NAVIDAD,,,,PESOS,139.7,,251.48775,
LI5487,ADORNO ANGELITO X 12,,NAVIDAD,,,,PESOS,4142.9,,7457.22,
LI6643,ADORNO ANGELITO X 1,,NAVIDAD,,,,PESOS,397.0,,714.65025,
LI6655,MOÑO GRANDE BRILLANTE PLATEADO X 3,,NAVIDAD,,,,PESOS,1822.5,,3280.5,
LI6656,MOÑO GRANDE BRILLANTE PLATEADO X 1,,NAVIDAD,,,,PESOS,698.625,,1257.525,
LI5458,CINTA BROOKLYN DUBLIN ART 407 (CINTA NAVIDEÑA),,NAVIDAD,,,,PESOS,610.00,,1098,
LI6768,ADORNO BOLAS GRANDES N°7 X 12,,NAVIDAD,,,,PESOS,,,0,
LI6772,ADORNO PUNTAL BOCHA GLITTER GRANDE X 1,,NAVIDAD,,,,PESOS,1988,,3578.4,
LI6773,ADORNO ANGELITO MEDIANO DORADO X 1,,NAVIDAD,,,,PESOS,833.3333333,,1500,
LI6774,ADORNO BOLAS GRANDES N°6 X 3,,NAVIDAD,,,,PESOS,1575,,2835,
LI7365,CORONA PUERTA GRANDE,,NAVIDAD,,,,PESOS,8099.5,,14579.1,
LI7377,MUERDAGO PUERTA 5243,,NAVIDAD,,,,PESOS,7400,,13320,
LI7388,ADORNO PUNTAL BOCHA MEDIANO X 1,,NAVIDAD,,,,PESOS,1491,,2683.8,
LI7391,ADORNO PUNTAL BOCHA CHICO X 1,,NAVIDAD,,,,PESOS,1100,,1980,
LI7402,ADORNO CORAZONES X 2,,NAVIDAD,,,,PESOS,529.93,,953.874,
LI46848,ADORNO PAPA NOEL X 2,,NAVIDAD,,,,PESOS,,,0,
LIB254448,ADORNO MANZANITAS X 4,,NAVIDAD,,,,PESOS,,,0,
LIB2154888888,ADORNO BOLAS GRANDES N°6 CON BRILLO X 4,,NAVIDAD,,,,PESOS,"2,100.00",,3780,
L4558,CINTA BROOKLYN NAVIDEÑA OPERA 25MM XMT,,NAVIDAD,,,,PESOS,485.00,,873,
202222,CINTA BROOKLYN NAVIDEÑA NIRVANA ART 1994.1 10MM XMT,,NAVIDAD,,,,PESOS,240.00,,432,
L45412,CINTA FAMITEX FANTASY ART 724 N°5 25MM X MT (CINTA NAVIDEÑA),,NAVIDAD,,,,PESOS,280.00,,504,
308023,CINTA BROOKLYN NAVIDEÑA VARIOS MODELOS 25MM XMT,,NAVIDAD,,,,PESOS,500.00,,900,
304002,CINTA BROOKLYN ART 2002 2007.2,,NAVIDAD,,,,PESOS,240.00,,432,
,CINTA ADHESIVA DE TELA FUN TAPE ,,NAVIDAD,,,,PESOS,"2,200.00",,3960,
LIBKK837B,ADORNO PUNTAL ESTRELLA GRANDE,,NAVIDAD,,,,PESOS,"1,888.89",,3400,
LIB1222589996,FLORES GLITTER X 1,,NAVIDAD,,,,PESOS,833.33,,1500,
26080000012,MUÑECO PAPA NOEL,,NAVIDAD,,,,PESOS,"3,500.00",,6300,
26080000002,PORTAVELA NAVIDEÑO,,NAVIDAD,,,,PESOS,"1,944.44",,3500,
190500001009,ADORNO ARBOLITO GIBRE X 3,,NAVIDAD,,,,PESOS,"1,166.67",,2100,
190500001010,ADORNO MOÑO DORADO CON GLITTER,,NAVIDAD,,,,PESOS,"1,000.00",,1800,
190500001012,ADORNO PUERTA RANDOM,,NAVIDAD,,,,PESOS,"1,055.56",,1900,
190500001015,ARBOLITO MADERA BLANCO CHICO,,NAVIDAD,,,,PESOS,"7,777.78",,14000,
190500001016,ARBOLITO CHICO DECORADO CON BASE,,NAVIDAD,,,,PESOS,"10,000.00",,18000,
190500001017,"ARBOLITO PARA ARMAR 0,50 M",,NAVIDAD,,,,PESOS,"5,277.78",,9500,
190500001018,"ARBOLITO PARA ARMAR 0,65 M",,NAVIDAD,,,,PESOS,"6,944.44",,12500,
190500001019,"ARBOLITO BLANCO / VERDE PARA ARMAR 1,45 M",,NAVIDAD,,,,PESOS,15491.45,,27884.61538,
24607,NIÑO DIOS MUÑECO,,NAVIDAD,,,,PESOS,"1,944.44",,3500,
24608,ANGELITO DE OFERTA,,NAVIDAD,,,,PESOS,"1,666.67",,3000,
24609,NIÑO DIOS MUÑECO CHICO,,NAVIDAD,,,,PESOS,"1,111.11",,2000,
24610,JESUS MARIA Y JOSE,,NAVIDAD,,,,PESOS,"5,500.00",,9900,
24611,PESEBRE CON LUZ,,NAVIDAD,,,,PESOS,"13,000.00",,23400,
24612,PESEBRE GRANDE DE OFERTA,,NAVIDAD,,,,PESOS,"11,111.11",,20000,
24613,PESEBRE PORCELANA,,NAVIDAD,,,,PESOS,"8,333.33",,15000,
24614,LUCES LED X 50 COLOR,,NAVIDAD,,,,PESOS,"2,700.00",,4860,
24615,LUCES LED X 20 BLANCA BOLITAS,,NAVIDAD,,,,PESOS,"2,600.00",,4680,
24616,LUCES LED COPOS DE NIEVE COLOR,,NAVIDAD,,,,PESOS,"3,900.00",,7020,
24617,COLGANTE BOLA DISCO 3 CM X 12,,NAVIDAD,,,,PESOS,"3,484.10",,6271.38,
24618,LUCES LED LLUVIA X 100 LED CALIDA / BLANCA,,NAVIDAD,,,,PESOS,"4,900.00",,8820,
24619,LUCES LED LLUVIA X 240 (2M X 2M) ,,NAVIDAD,,,,PESOS,"8,000.00",,14400,
24620,GORROS NAVIDAD,,NAVIDAD,,,,PESOS,632.77,,1138.986,
24621,LUCES LED FILAMENTO BLANCA,,NAVIDAD,,,,PESOS,900.00,,1620,